,movie_title,genres,runtime_minutes,director_name,director_deathYear
237,Final Fantasy: The Spirits Within,"Action,Adventure,Animation",106.0,-,0
238,The Croods,"Adventure,Animation,Comedy",98.0,-,0
239,The Revenant,"Action,Adventure,Drama",156.0,Alejandro G. Iñárritu,2
240,Rango,"Action,Adventure,Animation",107.0,Gore Verbinski,2
241,Master and Commander: The Far Side of the World,"Action,Adventure,Drama",138.0,Peter Weir,2
242,Turbo,"Adventure,Animation,Comedy",96.0,David Soren,2
243,Teenage Mutant Ninja Turtles: Out of the Shadows,"Action,Adventure,Comedy",112.0,Dave Green,2
244,Happy Feet Two,"Adventure,Animation,Comedy",117.0,-,0
245,Miami Vice,"Action,Adventure,Crime",132.0,Michael Mann,2
246,Strange World,"Action,Adventure,Animation",102.0,-,0
247,The Nutcracker and the Four Realms,"Adventure,Family,Fantasy",99.0,-,0
248,War of the Worlds,"Action,Adventure,Sci-Fi",116.0,Steven Spielberg,2
249,Penguins of Madagascar,"Adventure,Animation,Comedy",92.0,-,0
250,The Hunger Games: Catching Fire,"Action,Adventure,Sci-Fi",146.0,Francis Lawrence,2
251,Harry Potter and the Prisoner of Azkaban,"Adventure,Family,Fantasy",142.0,Alfonso Cuarón,2
252,The Bourne Ultimatum,"Action,Mystery,Thriller",115.0,Paul Greengrass,2
253,Ant-Man and the Wasp,"Action,Adventure,Comedy",118.0,Peyton Reed,2
254,Kung Fu Panda,"Action,Adventure,Animation",92.0,-,0
255,Ant-Man,"Action,Comedy,Sci-Fi",117.0,Peyton Reed,2
256,Home,"Adventure,Animation,Comedy",94.0,Tim Johnson,2
257,Mary Poppins Returns,"Adventure,Comedy,Family",130.0,Rob Marshall,2
258,Puss in Boots,"Adventure,Animation,Comedy",90.0,Chris Miller,2
259,Megamind,"Action,Animation,Comedy",95.0,Tom McGrath,2
260,Bad Boys II,"Action,Comedy,Crime",147.0,Michael Bay,2
261,Rio 2,"Adventure,Animation,Comedy",101.0,Carlos Saldanha,2
262,Salt,"Action,Thriller",100.0,Phillip Noyce,2
263,Noah,"Action,Adventure,Drama",138.0,Darren Aronofsky,2
264,The Adventures of Tintin,"Action,Adventure,Animation",107.0,Steven Spielberg,2
265,After Earth,"Action,Adventure,Sci-Fi",100.0,M. Night Shyamalan,2
266,Australia,"Adventure,Drama,Romance",165.0,Baz Luhrmann,2
267,R.I.P.D.,"Action,Adventure,Comedy",96.0,Robert Schwentke,2
268,How to Train Your Dragon: The Hidden World,"Action,Adventure,Animation",104.0,Dean DeBlois,2
269,Dinosaur,"Adventure,Animation,Drama",82.0,-,0
270,Logan,"Action,Drama,Sci-Fi",137.0,James Mangold,2
271,Night at the Museum: Secret of the Tomb,"Adventure,Comedy,Family",98.0,Shawn Levy,2
